full_name,monetary,frequency,recency,rfm_segment
Ira Mayasari,765639,2,501,lost_customers
Ira Melani,186305980,158,13,loyal
Ira Mulyani,189909994,225,8,loyal
Ira Namaga,197269,1,364,lost_customers
Ira Nasyiah,126288658,121,36,loyal
Ira Nasyidah,159237056,92,20,loyal
Ira Novitasari,94620089,84,35,loyal
Ira Nuraini,101758149,142,10,loyal
Ira Nurdiyanti,7582905,16,159,potential churners
Ira Padmasari,32467460,22,110,active
Ira Palastri,2690917,9,133,potential churners
Ira Permata,1750390,7,105,lost_customers
Ira Pertiwi,236346018,239,17,loyal
Ira Prastuti,8918343,7,18,
Ira Pudjiastuti,293702498,259,3,loyal
Ira Purnawati,20792459,24,8,"slipping away, cannot lose"
Ira Purwanti,33322184,31,51,active
Ira Puspasari,441341,2,637,lost_customers
Ira Puspita,5245984,6,652,
Ira Rahayu,49927833,21,29,active
Ira Rahimah,15169882,31,48,active
Ira Rahmawati,72032439,64,20,loyal
Ira Riyanti,15575190,24,0,"slipping away, cannot lose"
Ira Suartini,1402276,5,152,lost_customers
Ira Sudiati,84867243,120,31,loyal
Ira Suryatmi,159370,1,1966,lost_customers
Ira Susanti,12352488,16,65,potential churners
Ira Usada,282374467,147,0,loyal
Ira Usamah,16494569,9,0,
Ira Utami,4446084,9,251,
Ira Uyainah,46806799,30,110,active
Ira Wahyuni,486296,1,766,lost_customers
Ira Wastuti,26835823,46,74,active
Ira Widiastuti,39522216,33,4,"slipping away, cannot lose"
Ira Wijayanti,42392064,38,41,active
Ira Winarsih,5143939,18,52,potential churners
Ira Wulandari,5598599,21,108,
Ira Yolanda,34119356,48,29,active
Ira Yuliarti,14912758,9,354,active
Ira Yuniar,997203,4,96,lost_customers
Ira Zulaika,210650,1,1077,lost_customers
Irfan Firmansyah,42686276,26,132,active
Irfan Hardiansyah,556603,1,799,lost_customers
Irfan Latupono,1477221,2,1071,lost_customers
Irfan Maheswara,157838679,98,7,loyal
Irfan Mansur,1021273,4,200,lost_customers
Irfan Manullang,2832339,11,213,
Irfan Mustofa,13284807,13,73,potential churners
Irfan Najmudin,14141228,10,16,
Irfan Natsir,4843585,5,113,lost_customers
Irfan Permadi,6482298,16,88,potential churners
Irfan Pradana,7738788,4,4,
Irfan Rajasa,3303980,9,101,potential churners
Irfan Samosir,221782,1,181,lost_customers
Irfan Santoso,857307,2,629,lost_customers
Irfan Sinaga,951175,1,477,lost_customers
Irfan Siregar,65319249,53,66,active
Irfan Sitorus,16853922,22,76,active
Irfan Tampubolon,186437236,155,35,loyal
Irfan Tarihoran,13708420,15,35,potential churners
Irfan Wibisono,742448,4,181,lost_customers
Irfan Widodo,54063173,73,24,"slipping away, cannot lose"
Irfan Wijaya,4240697,14,92,potential churners
Iriana Agustina,754635,2,199,lost_customers
Iriana Andriani,3713675,8,429,
Iriana Anggraini,28240784,18,216,active
Iriana Aryani,68157632,63,11,loyal
Iriana Astuti,23778127,22,70,active
Iriana Farida,9939235,29,13,
Iriana Fujiati,4596916,12,47,potential churners
Iriana Halimah,11218124,22,0,
Iriana Handayani,322888503,146,24,loyal
Iriana Hariyah,10631625,23,79,
Iriana Hartati,25677066,23,207,new customers
Iriana Hasanah,663000,1,1613,lost_customers
Iriana Hastuti,11776284,18,141,potential churners
Iriana Kuswandari,14163731,32,0,"slipping away, cannot lose"
Iriana Lailasari,75070856,114,5,loyal
Iriana Laksmiwati,14791768,21,0,"slipping away, cannot lose"
Iriana Lestari,244977813,167,8,loyal
Iriana Mandasari,299776659,267,2,loyal
Iriana Mayasari,130130178,190,22,loyal
Iriana Melani,690767,3,111,lost_customers
Iriana Mulyani,474081,2,336,lost_customers
Iriana Namaga,34842603,43,34,active
Iriana Nasyidah,73197094,85,25,loyal
Iriana Novitasari,64090268,129,1,loyal
Iriana Nuraini,38342085,16,270,active
Iriana Nurdiyanti,44385234,32,20,"slipping away, cannot lose"
Iriana Oktaviani,42145428,26,6,"slipping away, cannot lose"
Iriana Padmasari,62483038,27,67,active
Iriana Palastri,498211883,210,3,loyal
Iriana Permata,36325565,41,56,active
Iriana Pertiwi,17314819,24,31,active
Iriana Prastuti,33695318,46,40,active
Iriana Pratiwi,12924999,19,19,
Iriana Pudjiastuti,87321979,69,44,loyal
Iriana Purnawati,95748545,85,19,loyal
Iriana Puspasari,1857513,4,342,lost_customers
Iriana Puspita,2056867,7,71,lost_customers
Iriana Rahayu,10032040,14,383,
Iriana Rahimah,13130101,21,80,
Iriana Rahmawati,17315090,18,27,active
Iriana Riyanti,52748121,83,35,"slipping away, cannot lose"
Iriana Safitri,254382,1,315,lost_customers
Iriana Suartini,79408261,80,18,loyal
Iriana Sudiati,107831554,110,56,loyal
Iriana Suryatmi,11107649,20,43,potential churners
Iriana Susanti,19800728,35,18,"slipping away, cannot lose"
Iriana Usada,84061347,66,21,loyal
Iriana Usamah,52850709,65,24,"slipping away, cannot lose"
Iriana Uyainah,36575544,22,1,"slipping away, cannot lose"
Iriana Wahyuni,262501,1,286,lost_customers
Iriana Wastuti,1308817,3,109,lost_customers
Iriana Wijayanti,715744,2,234,lost_customers
Iriana Winarsih,410932,1,2190,lost_customers
Iriana Wulandari,164651,1,473,lost_customers
Iriana Yolanda,69503252,52,17,loyal
Iriana Yulianti,38305860,50,34,active
Iriana Yuliarti,7961525,17,86,potential churners
Iriana Yuniar,145238983,149,27,loyal
Iriana Zulaika,2791543,8,28,potential churners
Irma Agustina,45082835,49,0,"slipping away, cannot lose"
Irma Andriani,78512251,37,121,active
Irma Anggraini,33715453,36,64,active
Irma Astuti,19784422,24,114,active
Irma Farida,14659991,14,14,
Irma Halimah,197535528,80,35,loyal
Irma Handayani,294621173,56,72,
Irma Hariyah,56467177,56,51,"slipping away, cannot lose"
Irma Hartati,59646053,67,14,loyal
Irma Haryanti,14179201,19,68,active
Irma Hasanah,11870494,17,79,potential churners
Irma Hassanah,7999022,12,84,potential churners
Irma Hastuti,50637033,41,40,active
Irma Kusmawati,24605815,30,0,"slipping away, cannot lose"
Irma Lailasari,12817837,32,54,potential churners
Irma Laksmiwati,20294115,24,77,active
Irma Lestari,190793001,80,4,loyal
Irma Mandasari,2001049,4,3,lost_customers
Irma Mardhiyah,6229468,20,66,
Irma Maryati,287055,1,1611,lost_customers
Irma Mayasari,42120724,38,28,active
Irma Melani,875935,3,533,lost_customers
Irma Mulyani,31166450,26,26,active
Irma Namaga,178303801,146,7,loyal
Irma Nasyidah,68324892,60,12,loyal
Irma Novitasari,309195292,125,10,loyal
Irma Oktaviani,285412,1,175,lost_customers
Irma Padmasari,33195069,82,4,"slipping away, cannot lose"
Irma Pertiwi,38274964,51,13,"slipping away, cannot lose"
Irma Prastuti,319033892,220,8,loyal
Irma Pratiwi,57455987,54,34,loyal
Irma Pudjiastuti,19740485,35,27,active
Irma Purnawati,3687435,15,92,potential churners
Irma Purwanti,130570828,139,33,loyal
Irma Puspasari,87773788,122,17,loyal
Irma Puspita,133746849,142,27,loyal
Irma Rahayu,4764052,14,16,
Irma Rahimah,73099913,82,14,loyal
Irma Rahmawati,178204498,154,13,loyal
Irma Riyanti,4865722,17,16,
Irma Safitri,21490255,31,69,active
Irma Suartini,15436394,8,826,active
Irma Sudiati,8034337,8,117,potential churners
Irma Suryatmi,2619364,8,120,potential churners
Irma Usada,298997044,148,8,loyal
Irma Usamah,13878839,12,94,potential churners
Irma Utami,398762,1,1925,lost_customers
Irma Uyainah,193076422,158,44,loyal
Irma Wahyuni,39758835,70,31,"slipping away, cannot lose"
Irma Wastuti,5296634,15,34,potential churners
Irma Widiastuti,337659,1,603,lost_customers
Irma Winarsih,73978970,53,24,loyal
Irma Wulandari,749963,2,178,lost_customers
Irma Yolanda,13028977,30,17,
Irma Yuliarti,19880596,17,49,active
Irma Yuniar,105063761,161,11,loyal
Irma Zulaika,197802564,161,2,loyal
Irnanto Adriansyah,3067504,10,70,potential churners
Irnanto Anggriawan,4682798,2,131,lost_customers
Irnanto Ardianto,885202,3,553,lost_customers
Irnanto Budiyanto,199681749,86,29,loyal
Irnanto Dabukke,163593,1,1100,lost_customers
Irnanto Firgantoro,305023737,300,27,loyal
Irnanto Gunawan,32167345,25,149,active
Irnanto Haryanto,23128604,23,28,active
Irnanto Hutasoit,28679196,26,119,active
Irnanto Jailani,1711396,2,743,lost_customers
Irnanto Januar,109663,1,913,lost_customers
Irnanto Kurniawan,17354574,9,511,active
Irnanto Kusumo,22677704,35,27,active
Irnanto Maheswara,69130253,107,8,loyal
Irnanto Marbun,12587625,13,70,potential churners
Irnanto Maryadi,85738847,67,22,loyal
Irnanto Nashiruddin,1500491,4,416,lost_customers
Irnanto Pangestu,1426751,5,360,lost_customers
Irnanto Permadi,103901204,132,20,loyal
Irnanto Prakasa,35943698,19,75,active
Irnanto Rajasa,144600733,164,30,loyal
Irnanto Saefullah,33928083,39,40,active
Irnanto Santoso,68741265,28,32,loyal
Irnanto Saptono,118283,1,40,
Irnanto Sihombing,10534961,13,103,potential churners
Irnanto Simanjuntak,25609678,31,22,"slipping away, cannot lose"
Irnanto Simbolon,1178517,2,1018,lost_customers
Irnanto Sirait,10706882,16,144,potential churners
Irnanto Situmorang,1623361,4,93,lost_customers
Irnanto Tamba,6626140,6,40,potential churners
Irnanto Waskita,130431396,112,41,loyal
Irnanto Wijaya,1057495,5,470,lost_customers
Irnanto Winarno,17311700,11,474,active
Irnanto Zulkarnain,10608993,25,11,
Irsad Adriansyah,594906,1,647,lost_customers
Irsad Anggriawan,13042836,28,97,
Irsad Gunawan,415097,2,72,lost_customers
Irsad Halim,33650709,8,86,potential churners
Irsad Hutasoit,609688,2,899,lost_customers
Irsad Iswahyudi,39872054,40,6,"slipping away, cannot lose"
Irsad Januar,1766458,5,392,lost_customers
Irsad Mahendra,147091244,122,22,loyal
Irsad Mangunsong,11579056,7,585,
Irsad Manullang,239898,1,271,lost_customers
Irsad Megantara,475891,1,1569,lost_customers
Irsad Mustofa,41900326,29,51,active
Irsad Nugroho,15989234,27,49,active
Irsad Pangestu,51817620,26,54,active
Irsad Prabowo,2030017,1,1218,lost_customers
Irsad Pranowo,13485290,14,39,potential churners
Irsad Pratama,454562,1,1037,lost_customers
Irsad Saragih,52626768,51,55,active
Irsad Setiawan,32151767,36,35,active
Irsad Simanjuntak,48431316,62,44,"slipping away, cannot lose"
Irsad Sinaga,52402084,65,23,"slipping away, cannot lose"
Irsad Sirait,3232678,8,80,potential churners
Irsad Siregar,3259232,8,245,
Irsad Suryono,69068,1,169,lost_customers
Irsad Utama,3176275,7,13,
Irsad Wijaya,5365696,8,221,
Irsad Winarno,2065588,1,2188,lost_customers
Irwan Budiyanto,9480001,14,74,potential churners
Irwan Dabukke,3187561,2,174,lost_customers
Irwan Dongoran,1326509,5,225,lost_customers
Irwan Firmansyah,1610857,6,72,lost_customers
Irwan Gunarto,1326178,6,45,lost_customers
Irwan Hakim,635340,2,696,lost_customers
Irwan Hutasoit,37430511,69,30,"slipping away, cannot lose"
Irwan Iswahyudi,1758695,6,253,lost_customers
Irwan Jailani,10537186,17,4,
Irwan Kurniawan,6388835,15,91,potential churners
Irwan Kuswoyo,452168,2,960,lost_customers
Irwan Lazuardi,13258396,15,63,potential churners
Irwan Nainggolan,776635,3,334,lost_customers
Irwan Najmudin,1382000,7,117,lost_customers
Irwan Natsir,2504173,4,241,lost_customers
Irwan Pangestu,27965885,29,92,active
Irwan Prabowo,19498545,36,24,"slipping away, cannot lose"
Irwan Santoso,176320,1,2002,lost_customers
Irwan Saragih,5558146,14,113,potential churners
Irwan Sihombing,1173383,5,94,lost_customers
Irwan Sinaga,10738759,17,52,potential churners
Irwan Siregar,391519,2,109,lost_customers
Irwan Wasita,51472015,30,47,active
Irwan Wibisono,44016010,71,25,"slipping away, cannot lose"
Irwan Wijaya,38972155,48,66,active
Irwan Winarno,378007,1,1029,lost_customers
Ismail Adriansyah,606333,1,2213,lost_customers
Ismail Dabukke,2491832,3,90,lost_customers
Ismail Gunarto,480999,2,29,
Ismail Habibi,51838633,34,106,active
Ismail Hutasoit,4026650,13,99,potential churners
Ismail Januar,68671175,111,1,loyal
Ismail Mahendra,1896225,5,117,lost_customers
Ismail Maheswara,26673277,32,19,"slipping away, cannot lose"
Ismail Megantara,1358989,3,463,lost_customers
Ismail Mustofa,1209723,3,519,lost_customers
Ismail Nainggolan,689091,3,391,lost_customers
Ismail Najmudin,1660968,3,1124,lost_customers
Ismail Napitupulu,51355830,47,68,active
Ismail Nugroho,10963149,22,120,
Ismail Prabowo,230028,1,197,lost_customers
Ismail Pradipta,109372943,100,22,loyal
Ismail Prasetyo,1930534,1,28,
Ismail Rajata,20349648,10,233,active
Ismail Saragih,2541164,8,33,potential churners
Ismail Setiawan,55589694,63,4,"slipping away, cannot lose"
Ismail Sinaga,378340,2,1041,lost_customers
Ismail Sirait,29391501,13,143,potential churners
Ismail Siregar,217349256,234,0,loyal
Ismail Situmorang,897889,3,289,lost_customers
Ismail Tampubolon,574159,3,459,lost_customers
Ismail Tarihoran,2061498,5,886,lost_customers
Ismail Wahyudin,81489892,103,53,loyal
Ismail Wibisono,223432,1,22,lost_customers
Ismail Wibowo,1181257,4,153,lost_customers
Ivan Anggriawan,750273,2,230,lost_customers
Ivan Budiman,12121935,20,17,
Ivan Firgantoro,107776047,166,68,
Ivan Firmansyah,402219,1,609,lost_customers
Ivan Hakim,16125939,15,75,potential churners
Ivan Hardiansyah,133387908,54,42,loyal
Ivan Hutapea,308162413,267,60,loyal
Ivan Iswahyudi,29956934,56,22,"slipping away, cannot lose"
Ivan Jailani,67249,1,788,lost_customers
Ivan Januar,298198595,114,17,loyal
Ivan Kuswoyo,149491871,111,28,loyal
Ivan Latupono,1436293,2,366,lost_customers
Ivan Mahendra,22460549,25,79,active
Ivan Mansur,4098414,10,181,potential churners
Ivan Maryadi,8487050,11,27,potential churners
Ivan Mustofa,55750744,76,43,"slipping away, cannot lose"
Ivan Najmudin,2109321,6,99,lost_customers
Ivan Nashiruddin,11690839,19,131,
Ivan Prabowo,136382,1,1240,lost_customers
Ivan Pradana,2120378,6,424,lost_customers
Ivan Pratama,367150906,145,32,loyal
Ivan Rajata,62005272,80,2,loyal
Ivan Samosir,11073154,19,283,
Ivan Saputra,176716926,134,50,loyal
Ivan Saragih,286469,1,1992,lost_customers
Ivan Sihombing,64310084,104,21,loyal
Ivan Sinaga,4079667,8,106,potential churners
Ivan Siregar,7284068,12,112,potential churners
Ivan Sitompul,9804940,17,137,potential churners
Ivan Sitorus,524671,2,150,lost_customers
Ivan Suwarno,3548372,9,0,
Ivan Thamrin,8429011,13,168,potential churners
Ivan Waluyo,1218871,3,259,lost_customers
Ivan Wasita,675709,3,191,lost_customers
Ivan Widodo,13197016,14,69,potential churners
Ivan Wijaya,2076170,6,427,lost_customers
Jabal Damanik,448435,1,384,lost_customers
Jabal Halim,344903,1,1123,lost_customers
Jabal Hardiansyah,3694776,3,1071,lost_customers
Jabal Hutasoit,668044,2,440,lost_customers
Jabal Irawan,485838,2,372,lost_customers
Jabal Kurniawan,6442608,6,419,
Jabal Lazuardi,2172275,4,322,lost_customers
Jabal Mahendra,14254515,19,140,active
Jabal Maheswara,4573673,11,25,potential churners
Jabal Mandala,24072751,59,9,"slipping away, cannot lose"
Jabal Manullang,4808923,15,61,potential churners
Jabal Megantara,141534568,74,21,loyal
Jabal Nashiruddin,39230930,54,15,"slipping away, cannot lose"
Jabal Samosir,159628,1,209,lost_customers
Jabal Saragih,282058,1,181,lost_customers
Jabal Sihombing,8306814,17,32,potential churners
Jabal Siregar,81022882,29,0,loyal
Jabal Suwarno,10097010,22,31,potential churners
Jabal Tampubolon,167224,1,1148,lost_customers
Jabal Tarihoran,569238,2,1061,lost_customers
Jabal Utama,960570,3,78,lost_customers
Jabal Uwais,205206,1,810,lost_customers
Jabal Wibowo,4778282,10,117,potential churners
Jabal Winarno,304124,1,181,lost_customers
Jaeman Anggriawan,77540565,81,6,loyal
Jaeman Budiman,18732632,10,259,active
Jaeman Budiyanto,47085378,38,126,active
Jaeman Dongoran,56579331,77,9,"slipping away, cannot lose"
Jaeman Haryanto,2272066,3,327,lost_customers
Jaeman Hidayat,266391969,189,33,loyal
Jaeman Hutagalung,100437132,48,73,active
Jaeman Mangunsong,7663262,16,90,potential churners
Jaeman Megantara,1673810,2,221,lost_customers
Jaeman Najmudin,373111,1,1475,lost_customers
Jaeman Napitupulu,76056712,35,56,loyal
Jaeman Nashiruddin,37392364,31,13,"slipping away, cannot lose"
Jaeman Permadi,2421518,3,532,lost_customers
Jaeman Prayoga,2614345,6,47,potential churners
Jaeman Rajasa,70477436,80,10,loyal
Jaeman Salahudin,4089701,6,425,
Jaeman Samosir,3781447,5,34,
Jaeman Setiawan,195067,1,797,lost_customers
Jaeman Sihombing,551974,3,311,lost_customers
Jaeman Simanjuntak,14677054,14,34,active
Jaeman Sirait,35274579,49,61,active
Jaeman Tampubolon,65483543,20,43,loyal
Jaeman Wacana,333510607,171,1,loyal
Jaeman Wahyudin,40451947,58,20,"slipping away, cannot lose"
Jaeman Waluyo,8513296,20,9,
Jaeman Widodo,42160548,31,81,active
Jaga Dabukke,752243,3,164,lost_customers
Jaga Firgantoro,39556138,19,28,active
Jaga Hakim,1560245,5,363,lost_customers
Jaga Hidayat,280180,1,99,lost_customers
Jaga Hutasoit,43541223,22,149,active
Jaga Lazuardi,5919068,11,42,potential churners
Jaga Mangunsong,958627,2,178,lost_customers
Jaga Mansur,102045935,78,0,loyal
Jaga Najmudin,40957202,82,24,"slipping away, cannot lose"
Jaga Pangestu,83541241,64,33,loyal
Jaga Permadi,183976,1,585,lost_customers
Jaga Pradana,2868239,7,347,
Jaga Pradipta,49194314,44,31,active
Jaga Salahudin,600394,1,1738,lost_customers
Jaga Sihotang,142407353,105,33,loyal
Jaga Sitompul,305980,1,315,lost_customers
Jaga Suryono,16965397,28,71,active
Jaga Thamrin,7844718,13,183,potential churners
Jaga Utama,3832968,9,61,potential churners
Jaga Uwais,1723000,5,41,
Jaga Widodo,231260,1,490,lost_customers
Jagapati Firgantoro,397043,1,811,lost_customers
Jagapati Gunarto,296030289,203,1,loyal
Jagapati Hakim,1843417,6,405,lost_customers
Jagapati Halim,184367311,131,6,loyal
Jagapati Hutapea,5497914,18,419,
Jagapati Iswahyudi,8377160,6,546,
Jagapati Jailani,117750633,58,53,loyal
Jagapati Kusumo,195328,1,379,lost_customers
Jagapati Kuswoyo,12481001,19,77,
Jagapati Lazuardi,32246500,41,26,active
Jagapati Mahendra,326723735,70,54,loyal
Jagapati Mansur,8103301,12,19,
Jagapati Marpaung,8569848,5,653,lost_customers
Jagapati Maulana,17567069,17,134,potential churners
Jagapati Nababan,5874519,16,33,potential churners
Jagapati Najmudin,2373252,8,51,potential churners
Jagapati Napitupulu,1316331,2,95,lost_customers
Jagapati Narpati,14767851,25,55,active
Jagapati Pangestu,4876495,8,41,potential churners
Jagapati Permadi,1064783,3,373,lost_customers
Jagapati Pradana,274810,1,155,lost_customers
Jagapati Prakasa,5129850,17,21,
Jagapati Rajasa,4430693,14,96,potential churners
Jagapati Ramadan,22702995,13,67,potential churners
Jagapati Saefullah,582060,2,700,lost_customers
Jagapati Saptono,96363235,11,272,
Jagapati Siregar,718570,2,1786,lost_customers
Jagapati Suryono,206930,1,1098,lost_customers
Jagapati Suwarno,283793567,186,48,loyal
Jagapati Thamrin,3276321,8,66,potential churners
Jagapati Uwais,20478616,8,706,active
Jagapati Wahyudin,4202306,5,58,
Jagapati Winarno,222686637,87,7,loyal
Jagaraga Budiman,2086482,4,681,lost_customers
Jagaraga Dabukke,4322770,10,160,potential churners
Jagaraga Dongoran,440008,1,1841,lost_customers
Jagaraga Firgantoro,4994362,9,142,potential churners
Jagaraga Gunarto,389465,1,2189,lost_customers
Jagaraga Haryanto,44375477,42,38,active
Jagaraga Hidayanto,203354493,206,24,loyal
Jagaraga Hutapea,278330943,223,26,loyal
Jagaraga Irawan,12727259,14,134,potential churners
Jagaraga Kurniawan,4324192,3,907,lost_customers
Jagaraga Mahendra,7937198,22,26,potential churners
Jagaraga Maheswara,37741416,26,149,active
Jagaraga Marbun,8701992,7,301,
Jagaraga Marpaung,22608283,44,22,"slipping away, cannot lose"
Jagaraga Mustofa,19226213,23,103,active
Jagaraga Nainggolan,91130657,88,31,loyal
Jagaraga Najmudin,2045461,6,116,lost_customers
Jagaraga Napitupulu,1099910,2,1258,lost_customers
Jagaraga Nashiruddin,6149134,18,77,potential churners
Jagaraga Permadi,59176658,22,192,active
Jagaraga Pradana,288674,2,746,lost_customers
Jagaraga Putra,136800499,130,8,loyal
Jagaraga Ramadan,675345,2,246,lost_customers
Jagaraga Samosir,181468952,144,41,loyal
Jagaraga Santoso,226212,1,258,lost_customers
Jagaraga Saptono,1814590,3,486,lost_customers
Jagaraga Saputra,300818,1,1213,lost_customers
Jagaraga Setiawan,8761647,10,10,
Jagaraga Sihombing,18158893,16,141,potential churners
Jagaraga Sihotang,131160467,186,60,loyal
Jagaraga Simbolon,1945311,2,92,lost_customers
Jagaraga Siregar,324921,1,882,lost_customers
Jagaraga Situmorang,22268565,41,12,"slipping away, cannot lose"
Jagaraga Tamba,1714799,5,370,lost_customers
Jagaraga Utama,2061523,5,192,lost_customers
Jagaraga Wahyudin,8031582,13,130,potential churners
Jagaraga Wibowo,717628,2,249,lost_customers
Jagaraga Wijaya,117081583,51,13,loyal
Jagaraga Winarno,66215907,51,23,loyal
Jail Habibi,44669091,27,23,"slipping away, cannot lose"
Jail Halim,370013,2,698,lost_customers
Jail Hidayanto,317202,1,2120,lost_customers
Jail Hutagalung,548290,2,200,lost_customers
Jail Hutapea,18474306,17,130,potential churners
Jail Hutasoit,775476,2,868,lost_customers
Jail Irawan,952710,3,55,
Jail Januar,8677269,13,154,potential churners
Jail Kusumo,13229635,11,70,potential churners
Jail Mahendra,700556,3,1036,lost_customers
Jail Nababan,16234606,31,19,"slipping away, cannot lose"
Jail Napitupulu,217970,1,190,lost_customers
Jail Natsir,3811039,8,48,potential churners
Jail Nugroho,18087248,19,24,"slipping away, cannot lose"
Jail Pradana,2595656,8,258,
Jail Prasasta,42653435,58,8,"slipping away, cannot lose"
Jail Sihombing,53185841,56,43,"slipping away, cannot lose"
Jail Sihotang,158369,1,1675,lost_customers
Jail Simanjuntak,28506955,68,40,"slipping away, cannot lose"
Jail Sirait,3365469,5,85,lost_customers
Jail Siregar,158808,1,739,lost_customers
Jail Situmorang,9075096,18,93,potential churners
Jail Thamrin,14960622,15,30,active
Jail Wahyudin,78500502,75,19,loyal
Jail Waluyo,26649963,22,167,active
Jail Wasita,228616990,98,1,loyal
Jaiman Adriansyah,12485916,12,285,
Jaiman Budiyanto,98801010,19,861,
Jaiman Gunarto,430872,1,863,lost_customers
Jaiman Hutapea,23060448,18,126,potential churners
Jaiman Januar,93297,1,291,lost_customers
Jaiman Kusumo,56900783,73,34,"slipping away, cannot lose"
Jaiman Mansur,1861860,6,240,lost_customers
Jaiman Mustofa,26205872,13,70,potential churners
Jaiman Nababan,2395241,7,258,
Jaiman Narpati,116929828,55,29,loyal
Jaiman Nugroho,24665205,29,37,active
Jaiman Prakasa,447533,2,675,lost_customers
Jaiman Pratama,335021811,261,5,loyal
Jaiman Rajata,33098784,25,71,active
Jaiman Saefullah,840956,3,689,lost_customers
Jaiman Samosir,60382257,83,15,loyal
Jaiman Saputra,38830444,41,2,"slipping away, cannot lose"
Jaiman Sihombing,2358259,9,24,
Jaiman Sirait,2202776,5,86,lost_customers
Jaiman Siregar,117700,1,95,lost_customers
Jaiman Suwarno,136943316,191,4,loyal
Jaiman Tamba,929726,3,327,lost_customers
Jaiman Tampubolon,35494457,38,17,"slipping away, cannot lose"
Jaiman Thamrin,6009512,17,130,potential churners
Jaiman Utama,17987360,47,44,active
Jaiman Uwais,7581513,18,60,potential churners
Jaiman Wacana,306731,1,15,lost_customers
Jaiman Wahyudin,7015458,12,18,
Jaiman Wasita,21872825,36,81,active
Jais Anggriawan,7004886,7,96,potential churners
Jais Budiman,106194179,120,12,loyal
Jais Dabukke,203358,1,331,lost_customers
Jais Firmansyah,14286847,27,48,active
Jais Gunarto,3061542,8,183,potential churners
Jais Halim,223056626,104,2,loyal
Jais Haryanto,34610768,17,21,
Jais Jailani,1950252,1,1307,lost_customers
Jais Kusumo,27471216,14,94,potential churners
Jais Latupono,258821,1,1322,lost_customers
Jais Maheswara,7072761,13,243,
Jais Mangunsong,806913,3,39,
Jais Marbun,8841545,10,5,
Jais Nababan,9603650,14,148,potential churners
Jais Najmudin,1870687,4,406,lost_customers
Jais Napitupulu,912179,4,75,lost_customers
Jais Natsir,61137366,31,28,loyal
Jais Pangestu,200078,1,866,lost_customers
Jais Prabowo,1283266,1,1716,lost_customers
Jais Pradana,195058,1,333,lost_customers
Jais Pradipta,1450386,4,319,lost_customers
Jais Prakasa,77834,1,182,lost_customers
Jais Pranowo,17942527,21,141,active
Jais Prasasta,166041039,75,2,loyal
Jais Salahudin,183121198,149,29,loyal
Jais Sihombing,179987522,173,3,loyal
Jais Simanjuntak,1813920,1,664,lost_customers
Jais Simbolon,2272706,8,34,lost_customers
Jais Siregar,240997935,148,25,loyal
Jais Suryono,13155498,24,35,potential churners
Jais Tampubolon,1897030,6,129,lost_customers
Jais Thamrin,1498086,5,97,lost_customers
Jais Utama,3471600,6,220,
Jais Uwais,39524222,29,50,active
Jais Wasita,94442126,119,37,loyal
Jaka Budiman,1931624,4,538,lost_customers
Jaka Budiyanto,200486,1,1064,lost_customers
Jaka Firmansyah,6937728,12,120,potential churners
Jaka Habibi,131737,1,140,lost_customers
Jaka Halim,535507,3,649,lost_customers
Jaka Hardiansyah,31065151,37,43,active
Jaka Kusumo,71505369,32,36,loyal
Jaka Latupono,204196,1,1652,lost_customers
Jaka Marbun,15663138,26,91,active
Jaka Najmudin,8588521,19,41,potential churners
Jaka Natsir,136276,1,351,lost_customers
Jaka Pranowo,8456318,13,163,potential churners
Jaka Prasasta,5524548,10,93,potential churners
Jaka Prasetyo,357528,1,1341,lost_customers
Jaka Pratama,315073,1,1175,lost_customers
Jaka Saefullah,47651693,18,184,potential churners
Jaka Saptono,84727180,91,5,loyal
Jaka Sihombing,10545531,22,15,
Jaka Siregar,18400799,11,94,potential churners
Jaka Sitorus,221902,1,567,lost_customers
Jaka Tamba,175279,1,651,lost_customers
Jaka Thamrin,128682671,50,45,loyal
Jaka Uwais,33855159,29,35,active
Jaka Wahyudin,108581166,115,62,loyal
Jaka Waluyo,43271514,67,2,"slipping away, cannot lose"
Jamal Budiyanto,1684778,4,39,
Jamal Firgantoro,634915,2,1036,lost_customers
Jamal Hidayat,1026140,2,1836,lost_customers
Jamal Januar,48237500,54,70,
Jamal Latupono,473516,2,216,lost_customers
Jamal Manullang,26288965,45,3,"slipping away, cannot lose"
Jamal Maulana,46924792,47,53,active
Jamal Megantara,1117005,4,210,lost_customers
Jamal Mustofa,1150997,2,77,lost_customers
Jamal Narpati,2308634,7,230,
Jamal Nashiruddin,267786,2,735,lost_customers
Jamal Pangestu,2752574,7,385,
Jamal Pradana,15456115,14,158,potential churners
Jamal Pradipta,1799256,3,107,lost_customers
Jamal Prayoga,54359123,36,11,"slipping away, cannot lose"
Jamal Saptono,32082934,53,1,"slipping away, cannot lose"
Jamal Saputra,456943,1,673,lost_customers
Jamal Sihotang,1297053,3,686,lost_customers
Jamal Sinaga,188641,1,1910,lost_customers
Jamal Sitompul,276246,1,156,lost_customers
Jamal Suwarno,113195954,118,15,loyal
Jamal Tarihoran,22270625,23,106,active
Jamal Wacana,8904926,3,599,lost_customers
Jamal Wasita,49801740,36,23,"slipping away, cannot lose"
Jamal Wibisono,3248874,9,111,potential churners
